Original destination milepost,Original origin milepost,Post-calibration destination milepost ,Post-calibration origin milepost,Traffic Message Channel location codes,Truck Travel Time Reliability Index,Travel Time Index,Traffic Message Channel miles,Highway segment,Corridor number,Corridor name
375.33,376.72,377.986,379.419,107-05487,1.09,1.03,1.39,3_IL,3,"Omaha, NE to Chicago, IL"
376.72,377.03,379.419,379.757,107N05488,1.09,1.02,0.31,3_IL,3,"Omaha, NE to Chicago, IL"
377.03,378.23,379.757,380.926,107-05488,1.1,1.03,1.2,3_IL,3,"Omaha, NE to Chicago, IL"
378.23,378.67,380.926,381.355,107N05489,1.21,1.06,0.91,3_IL,3,"Omaha, NE to Chicago, IL"
378.67,378.7,381.355,381.401,107N05489,1.21,1.06,0.91,3_IL,3,"Omaha, NE to Chicago, IL"
378.7,379.13,381.401,381.842,107N05489,1.21,1.06,0.91,3_IL,3,"Omaha, NE to Chicago, IL"
379.13,380.85,381.842,383.614,107-05489,1.07,1.02,1.73,3_IL,3,"Omaha, NE to Chicago, IL"
380.85,381.55,383.614,384.256,107N05490,1.06,1.02,0.7,3_IL,3,"Omaha, NE to Chicago, IL"
381.55,390.08,384.256,392.918,107-05490,1.06,1.02,8.57,3_IL,3,"Omaha, NE to Chicago, IL"
390.08,390.32,392.918,393.124,107N05491,1.09,1.02,0.49,3_IL,3,"Omaha, NE to Chicago, IL"
390.32,390.33,393.124,393.132,107N05491,1.09,1.02,0.49,3_IL,3,"Omaha, NE to Chicago, IL"
390.33,390.58,393.132,393.353,107N05491,1.09,1.02,0.49,3_IL,3,"Omaha, NE to Chicago, IL"
390.58,393.09,393.353,395.904,107-05491,1.12,1.02,2.52,3_IL,3,"Omaha, NE to Chicago, IL"
393.09,393.29,395.904,396.105,107N05492,1.1,1.02,0.55,3_IL,3,"Omaha, NE to Chicago, IL"
393.29,393.3,396.105,396.101,107N05492,1.1,1.02,0.55,3_IL,3,"Omaha, NE to Chicago, IL"
393.3,393.64,396.101,396.329,107N05492,1.1,1.02,0.55,3_IL,3,"Omaha, NE to Chicago, IL"
393.64,396.69,396.329,399.533,107-05492,1.05,1.02,3.07,3_IL,3,"Omaha, NE to Chicago, IL"
396.69,397.37,399.533,400.215,107N05493,1.05,1.02,0.69,3_IL,3,"Omaha, NE to Chicago, IL"
397.37,402.83,400.215,405.756,107-05493,1.04,1.01,5.48,3_IL,3,"Omaha, NE to Chicago, IL"
402.83,402.83,405.756,405.756,107-05494,1.06,1.01,0.01,3_IL,3,"Omaha, NE to Chicago, IL"
402.83,404.31,405.756,407.298,107-04416,1.07,1.02,1.49,3_IL,3,"Omaha, NE to Chicago, IL"
404.31,405.1,407.298,407.841,107N04417,1.05,1.02,0.79,3_IL,3,"Omaha, NE to Chicago, IL"
405.1,411.59,407.841,414.539,107-04417,1.05,1.02,6.52,3_IL,3,"Omaha, NE to Chicago, IL"
411.59,411.88,414.539,414.853,107N04418,1.05,1.02,0.65,3_IL,3,"Omaha, NE to Chicago, IL"
411.88,411.9,414.853,414.885,107N04418,1.05,1.02,0.65,3_IL,3,"Omaha, NE to Chicago, IL"
411.9,412.24,414.885,415.211,107N04418,1.05,1.02,0.65,3_IL,3,"Omaha, NE to Chicago, IL"
412.24,416.56,415.211,419.503,107-04418,1.05,1.02,4.32,3_IL,3,"Omaha, NE to Chicago, IL"
416.56,417.23,419.503,420.332,107N04419,1.05,1.02,0.67,3_IL,3,"Omaha, NE to Chicago, IL"
417.23,417.83,420.332,420.937,107-04419,1.07,1.02,0.6,3_IL,3,"Omaha, NE to Chicago, IL"
417.83,418.52,420.937,421.533,107N04420,1.13,1.03,0.69,3_IL,3,"Omaha, NE to Chicago, IL"
418.52,421.18,421.533,424.129,107-04420,1.06,1.02,2.66,3_IL,3,"Omaha, NE to Chicago, IL"
421.18,421.84,424.129,424.847,107N04421,1.07,1.02,0.66,3_IL,3,"Omaha, NE to Chicago, IL"
421.84,425.57,424.847,428.577,107-04421,1.07,1.03,3.74,3_IL,3,"Omaha, NE to Chicago, IL"
425.57,426.01,428.577,428.994,107N04422,1.12,1.04,1.04,3_IL,3,"Omaha, NE to Chicago, IL"
426.01,426.02,428.994,429,107N04422,1.12,1.04,1.04,3_IL,3,"Omaha, NE to Chicago, IL"
426.02,426.61,429,429.619,107N04422,1.12,1.04,1.04,3_IL,3,"Omaha, NE to Chicago, IL"
426.61,427.32,429.619,430.301,107-04422,1.23,1.06,0.72,3_IL,3,"Omaha, NE to Chicago, IL"
427.32,428.03,430.301,431.099,107N04423,1.23,1.05,0.71,3_IL,3,"Omaha, NE to Chicago, IL"
428.03,430.05,431.099,433.109,107-04423,1.1,1.04,2.02,3_IL,3,"Omaha, NE to Chicago, IL"
430.05,430.4,433.109,433.403,107N04424,1.13,1.06,0.66,3_IL,3,"Omaha, NE to Chicago, IL"
430.4,430.4,433.403,433.403,107N04424,1.13,1.06,0.66,3_IL,3,"Omaha, NE to Chicago, IL"
430.4,430.71,433.403,433.675,107N04424,1.13,1.06,0.66,3_IL,3,"Omaha, NE to Chicago, IL"
430.71,431.46,433.675,434.506,107-04424,1.29,1.09,0.75,3_IL,3,"Omaha, NE to Chicago, IL"
431.46,432.04,434.506,435.065,107N04425,1.61,1.12,0.58,3_IL,3,"Omaha, NE to Chicago, IL"
432.04,432.38,435.065,435.422,107-04425,1.87,1.13,0.34,3_IL,3,"Omaha, NE to Chicago, IL"
432.38,432.61,435.422,435.616,107N04426,1.75,1.14,0.25,3_IL,3,"Omaha, NE to Chicago, IL"
432.61,432.62,435.616,435.642,107N04426,1.75,1.14,0.25,3_IL,3,"Omaha, NE to Chicago, IL"
432.62,432.63,435.642,435.675,107N04426,1.75,1.14,0.25,3_IL,3,"Omaha, NE to Chicago, IL"
432.63,432.89,435.675,435.891,107-04426,1.64,1.14,0.27,3_IL,3,"Omaha, NE to Chicago, IL"
432.89,433.27,435.891,436.234,107N04427,1.67,1.13,0.38,3_IL,3,"Omaha, NE to Chicago, IL"
433.27,434.41,436.234,437.423,107-04427,1.79,1.14,1.14,3_IL,3,"Omaha, NE to Chicago, IL"
434.41,434.88,437.423,437.918,107N04428,2.13,1.14,0.48,3_IL,3,"Omaha, NE to Chicago, IL"
434.88,437.1,437.918,440.242,107-04428,2.12,1.15,2.23,3_IL,3,"Omaha, NE to Chicago, IL"
437.1,437.43,440.242,440.475,107N04429,2.34,1.15,0.37,3_IL,3,"Omaha, NE to Chicago, IL"
437.43,437.44,440.475,440.482,107N04429,2.34,1.15,0.37,3_IL,3,"Omaha, NE to Chicago, IL"
437.44,437.47,440.482,440.512,107N04429,2.34,1.15,0.37,3_IL,3,"Omaha, NE to Chicago, IL"
437.47,439.21,440.512,442.221,107-04429,3.74,1.15,1.73,3_IL,3,"Omaha, NE to Chicago, IL"
439.21,439.61,442.221,442.697,107N17508,2.38,1.07,0.99,3_IL,3,"Omaha, NE to Chicago, IL"
439.61,440.19,442.697,443.461,107N17508,2.38,1.07,0.99,3_IL,3,"Omaha, NE to Chicago, IL"
440.19,444.96,443.461,447.997,107-17508,1.19,1.05,4.79,3_IL,3,"Omaha, NE to Chicago, IL"
444.96,445.38,447.997,448.455,107N04430,1.11,1.04,0.8,3_IL,3,"Omaha, NE to Chicago, IL"
445.38,445.39,448.455,448.461,107N04430,1.11,1.04,0.8,3_IL,3,"Omaha, NE to Chicago, IL"
445.39,445.76,448.461,448.834,107N04430,1.11,1.04,0.8,3_IL,3,"Omaha, NE to Chicago, IL"
445.76,448.11,448.834,451.384,107-04430,1.29,1.09,2.36,3_IL,3,"Omaha, NE to Chicago, IL"
448.11,448.54,451.384,451.689,107N04431,1.14,1.07,0.74,3_IL,3,"Omaha, NE to Chicago, IL"
448.54,448.54,451.689,451.689,107N04431,1.14,1.07,0.74,3_IL,3,"Omaha, NE to Chicago, IL"
448.54,448.85,451.689,452.072,107N04431,1.14,1.07,0.74,3_IL,3,"Omaha, NE to Chicago, IL"
448.85,450.99,452.072,454.157,107-04431,1.5,1.09,2.14,3_IL,3,"Omaha, NE to Chicago, IL"
450.99,451.3,454.157,454.456,107N04432,3.5,1.14,0.86,3_IL,3,"Omaha, NE to Chicago, IL"
451.3,451.43,454.456,454.587,107N04432,3.5,1.14,0.86,3_IL,3,"Omaha, NE to Chicago, IL"
451.43,451.84,454.587,455.011,107N04432,3.5,1.14,0.86,3_IL,3,"Omaha, NE to Chicago, IL"
451.84,451.95,455.011,455.111,107-04432,1.53,1.06,1.98,3_IL,3,"Omaha, NE to Chicago, IL"
451.95,451.96,455.111,455.084,107-04432,1.53,1.06,1.98,3_IL,3,"Omaha, NE to Chicago, IL"
451.96,453.81,455.084,456.943,107-04432,1.53,1.06,1.98,3_IL,3,"Omaha, NE to Chicago, IL"
453.81,454.19,456.943,457.389,107N04433,1.13,1.04,0.38,3_IL,3,"Omaha, NE to Chicago, IL"
454.19,454.58,457.389,457.638,107-04433,1.11,1.04,0.39,3_IL,3,"Omaha, NE to Chicago, IL"
454.58,454.91,457.638,457.97,107+04440,1.44,1.36,1.23,3_IL,3,"Omaha, NE to Chicago, IL"
454.91,454.92,457.97,457.98,107+04440,1.44,1.36,1.23,3_IL,3,"Omaha, NE to Chicago, IL"
454.92,455.33,457.98,458.392,107+04440,1.44,1.36,1.23,3_IL,3,"Omaha, NE to Chicago, IL"
455.33,455.35,458.392,458.412,,0,0,,3_IL,3,"Omaha, NE to Chicago, IL"
455.35,455.35,458.412,458.412,,0,0,,3_IL,3,"Omaha, NE to Chicago, IL"
0,0,0,0,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
9.88,10.41,9.814,10.375,118P05590,1.07,1.02,0.53,4_IL,4,"Davenport, IA to Memphis, TN"
10.41,14.18,10.375,14.068,118+05590,1.07,1.02,3.74,4_IL,4,"Davenport, IA to Memphis, TN"
14.18,14.63,14.068,14.586,118P05589,1.07,1.02,0.45,4_IL,4,"Davenport, IA to Memphis, TN"
14.63,18.19,14.586,17.974,118+05589,1.12,1.03,3.53,4_IL,4,"Davenport, IA to Memphis, TN"
18.19,18.52,17.974,18.372,118P05588,1.09,1.02,0.33,4_IL,4,"Davenport, IA to Memphis, TN"
18.52,31.6,18.372,31.394,118+05588,1.07,1.02,12.99,4_IL,4,"Davenport, IA to Memphis, TN"
31.6,31.82,31.394,31.605,118P05587,1.18,1.04,0.52,4_IL,4,"Davenport, IA to Memphis, TN"
31.82,31.84,31.605,31.633,118P05587,1.18,1.04,0.52,4_IL,4,"Davenport, IA to Memphis, TN"
31.84,32.13,31.633,31.907,118P05587,1.18,1.04,0.52,4_IL,4,"Davenport, IA to Memphis, TN"
32.13,34.4,31.907,34.114,118+05587,1.07,1.09,2.26,4_IL,4,"Davenport, IA to Memphis, TN"
34.4,34.72,34.114,34.47,118P05586,1.09,1.03,0.31,4_IL,4,"Davenport, IA to Memphis, TN"
34.72,36.83,34.47,36.52,118+05586,1.08,1.02,2.11,4_IL,4,"Davenport, IA to Memphis, TN"
36.83,37.41,36.52,37.175,118P05585,1.08,1.02,0.58,4_IL,4,"Davenport, IA to Memphis, TN"
37.41,39.56,37.175,39.359,118+05585,1.08,1.02,2.16,4_IL,4,"Davenport, IA to Memphis, TN"
39.56,39.83,39.359,39.615,118P05584,1.08,1.02,0.26,4_IL,4,"Davenport, IA to Memphis, TN"
39.83,48.27,39.615,48.08,118+05584,1.08,1.02,8.49,4_IL,4,"Davenport, IA to Memphis, TN"
48.27,48.9,48.08,48.77,118P05583,1.24,1.04,0.63,4_IL,4,"Davenport, IA to Memphis, TN"
48.9,54.36,48.77,54.246,118+05583,1.09,1.02,5.48,4_IL,4,"Davenport, IA to Memphis, TN"
54.36,57.11,54.246,57.026,107+05592,1.07,1.02,2.76,4_IL,4,"Davenport, IA to Memphis, TN"
57.11,57.64,57.026,57.545,107P05591,1.07,1.02,0.53,4_IL,4,"Davenport, IA to Memphis, TN"
57.64,60.49,57.545,60.423,107+05591,1.07,1.02,2.87,4_IL,4,"Davenport, IA to Memphis, TN"
60.49,61.02,60.423,60.956,107P05590,1.07,1.02,0.52,4_IL,4,"Davenport, IA to Memphis, TN"
61.02,67.72,60.956,67.669,107+05590,1.06,1.02,6.72,4_IL,4,"Davenport, IA to Memphis, TN"
67.72,68.2,67.669,68.145,107P05589,1.07,1.02,0.48,4_IL,4,"Davenport, IA to Memphis, TN"
68.2,72.47,68.145,72.35,107+05589,1.07,1.02,4.28,4_IL,4,"Davenport, IA to Memphis, TN"
72.47,72.96,72.35,72.839,107P05588,1.12,1.03,0.78,4_IL,4,"Davenport, IA to Memphis, TN"
72.96,72.98,72.839,72.859,107P05588,1.12,1.03,0.78,4_IL,4,"Davenport, IA to Memphis, TN"
72.98,73.03,72.859,72.909,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
73.03,73.64,72.909,73.572,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
73.64,76.38,73.572,76.104,107+05648,1.15,1.04,2.73,4_IL,4,"Davenport, IA to Memphis, TN"
76.38,76.44,76.104,76.193,107P05647,1.18,1.05,0.05,4_IL,4,"Davenport, IA to Memphis, TN"
76.44,76.82,76.193,76.55,107+05647,1.16,1.04,1.49,4_IL,4,"Davenport, IA to Memphis, TN"
76.82,77.94,76.55,77.703,107+05647,1.16,1.04,1.49,4_IL,4,"Davenport, IA to Memphis, TN"
77.94,78.34,77.703,78.173,107P05646,1.12,1.06,0.4,4_IL,4,"Davenport, IA to Memphis, TN"
78.34,79.34,78.173,78.903,107+05646,1.25,1.15,1.01,4_IL,4,"Davenport, IA to Memphis, TN"
79.34,79.74,78.903,79.478,107P05645,1.67,1.23,0.61,4_IL,4,"Davenport, IA to Memphis, TN"
79.74,79.75,79.478,79.497,107P05645,1.67,1.23,0.61,4_IL,4,"Davenport, IA to Memphis, TN"
79.75,79.95,79.497,79.789,107P05645,1.67,1.23,0.61,4_IL,4,"Davenport, IA to Memphis, TN"
79.95,81.21,79.789,80.967,107+05645,1.59,1.21,1.25,4_IL,4,"Davenport, IA to Memphis, TN"
81.21,81.87,80.967,81.653,107P17516,1.27,1.21,0.66,4_IL,4,"Davenport, IA to Memphis, TN"
81.87,82.02,81.653,81.798,107+17516,1.17,1.2,0.15,4_IL,4,"Davenport, IA to Memphis, TN"
82.02,82.22,81.798,81.962,107P05644,1.12,1.17,0.57,4_IL,4,"Davenport, IA to Memphis, TN"
82.22,82.23,81.962,81.971,107P05644,1.12,1.17,0.57,4_IL,4,"Davenport, IA to Memphis, TN"
82.23,82.59,81.971,82.272,107P05644,1.12,1.17,0.57,4_IL,4,"Davenport, IA to Memphis, TN"
82.59,86.41,82.272,86.293,107+05644,1.1,1.04,3.84,4_IL,4,"Davenport, IA to Memphis, TN"
86.41,87.07,86.293,86.921,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
87.07,87.59,86.921,87.42,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
87.59,88.7,87.42,88.436,107+05573,1.23,1.03,1.16,4_IL,4,"Davenport, IA to Memphis, TN"
88.7,88.74,88.436,88.476,107+05573,1.23,1.03,1.16,4_IL,4,"Davenport, IA to Memphis, TN"
88.74,89.09,88.476,88.861,107P05572,1.14,1.03,0.35,4_IL,4,"Davenport, IA to Memphis, TN"
89.09,89.17,88.861,88.95,107+05572,1.15,1.04,0.95,4_IL,4,"Davenport, IA to Memphis, TN"
89.17,89.18,88.95,88.937,107+05572,1.15,1.04,0.95,4_IL,4,"Davenport, IA to Memphis, TN"
89.18,89.2,88.937,88.957,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
89.2,89.48,88.957,89.166,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
89.48,89.87,89.166,89.557,107+05663,1.2,1.05,0.39,4_IL,4,"Davenport, IA to Memphis, TN"
89.87,90.36,89.557,90.077,107P05662,1.14,1.04,0.49,4_IL,4,"Davenport, IA to Memphis, TN"
90.36,91.08,90.077,90.904,107+05662,1.14,1.03,0.71,4_IL,4,"Davenport, IA to Memphis, TN"
91.08,91.36,90.904,91.128,107P05661,1.1,1.03,0.28,4_IL,4,"Davenport, IA to Memphis, TN"
91.36,91.95,91.128,91.716,107+05661,1.1,1.03,0.59,4_IL,4,"Davenport, IA to Memphis, TN"
91.95,92.16,91.716,91.864,107P05660,1.1,1.03,0.2,4_IL,4,"Davenport, IA to Memphis, TN"
92.16,92.64,91.864,92.381,107+05660,1.11,1.03,0.48,4_IL,4,"Davenport, IA to Memphis, TN"
92.64,93.21,92.381,92.918,107P05659,1.09,1.03,0.57,4_IL,4,"Davenport, IA to Memphis, TN"
93.21,95.57,92.918,95.304,107+05659,1.09,1.03,2.34,4_IL,4,"Davenport, IA to Memphis, TN"
95.57,96.13,95.304,95.913,107P05658,1.09,1.03,0.56,4_IL,4,"Davenport, IA to Memphis, TN"
96.13,98.73,95.913,98.364,107+05658,1.09,1.03,2.58,4_IL,4,"Davenport, IA to Memphis, TN"
98.73,99.31,98.364,98.982,107P05657,1.09,1.03,0.58,4_IL,4,"Davenport, IA to Memphis, TN"
99.31,102.71,98.982,102.276,107+05657,1.08,1.02,3.37,4_IL,4,"Davenport, IA to Memphis, TN"
102.71,103.28,102.276,102.918,107P05656,1.08,1.03,0.57,4_IL,4,"Davenport, IA to Memphis, TN"
103.28,105.94,102.918,105.577,107+05656,1.09,1.03,2.64,4_IL,4,"Davenport, IA to Memphis, TN"
105.94,106.46,105.577,106.073,107P05655,1.08,1.03,0.51,4_IL,4,"Davenport, IA to Memphis, TN"
106.46,110.24,106.073,109.828,107+05655,1.08,1.03,3.76,4_IL,4,"Davenport, IA to Memphis, TN"
110.24,110.95,109.828,110.406,119+05382,1.09,1.03,0.71,4_IL,4,"Davenport, IA to Memphis, TN"
110.95,111.25,110.406,110.767,119P05381,1.08,1.03,0.59,4_IL,4,"Davenport, IA to Memphis, TN"
111.25,111.26,110.767,110.837,119P05381,1.08,1.03,0.59,4_IL,4,"Davenport, IA to Memphis, TN"
111.26,111.55,110.837,111.151,119P05381,1.08,1.03,0.59,4_IL,4,"Davenport, IA to Memphis, TN"
111.55,115.25,111.151,114.799,119+05381,1.09,1.03,3.68,4_IL,4,"Davenport, IA to Memphis, TN"
115.25,115.76,114.799,115.326,119P05380,1.09,1.03,0.5,4_IL,4,"Davenport, IA to Memphis, TN"
115.76,120.88,115.326,120.355,119+05380,1.09,1.03,5.1,4_IL,4,"Davenport, IA to Memphis, TN"
120.88,121.62,120.355,121.242,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
121.62,126.2,121.242,125.802,119-05409,1.06,1.02,4.61,4_IL,4,"Davenport, IA to Memphis, TN"
126.2,126.23,125.802,125.832,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
126.23,129.36,125.832,129.05,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
129.36,129.55,129.05,129.241,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
129.55,129.69,129.241,129.377,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
129.69,129.81,129.377,129.493,119+06134,1.58,1.15,5.82,4_IL,4,"Davenport, IA to Memphis, TN"
129.81,130.42,129.493,130.1,119+06134,1.58,1.15,5.82,4_IL,4,"Davenport, IA to Memphis, TN"
130.42,130.64,130.1,130.314,119+06134,1.58,1.15,5.82,4_IL,4,"Davenport, IA to Memphis, TN"
130.64,135.53,130.314,135.197,119+06134,1.58,1.15,5.82,4_IL,4,"Davenport, IA to Memphis, TN"
135.53,139.84,135.197,139.489,119-10494,1.15,1.05,4.28,4_IL,4,"Davenport, IA to Memphis, TN"
139.84,140.46,139.489,140.091,119-10493,1.4,1.12,0.62,4_IL,4,"Davenport, IA to Memphis, TN"
140.46,141.35,140.091,140.976,119+10493,1.18,1.08,0.89,4_IL,4,"Davenport, IA to Memphis, TN"
141.35,146.54,140.976,146.205,119+06132,1.12,1.07,5.21,4_IL,4,"Davenport, IA to Memphis, TN"
146.54,147.54,146.205,147.204,119-10491,1.15,1.06,1.01,4_IL,4,"Davenport, IA to Memphis, TN"
147.54,148.63,147.204,148.301,119-10490,1.15,1.06,1.08,4_IL,4,"Davenport, IA to Memphis, TN"
148.63,152.22,148.301,151.925,119-10489,1.13,1.06,3.61,4_IL,4,"Davenport, IA to Memphis, TN"
152.22,153.86,151.925,153.584,119-10488,1.16,1.07,1.64,4_IL,4,"Davenport, IA to Memphis, TN"
153.86,156.12,153.584,155.795,119-10487,1.23,1.08,2.26,4_IL,4,"Davenport, IA to Memphis, TN"
156.12,157.26,155.795,156.964,119+10487,1.27,1.12,1.44,4_IL,4,"Davenport, IA to Memphis, TN"
157.26,157.56,156.964,157.281,119+10487,1.27,1.12,1.44,4_IL,4,"Davenport, IA to Memphis, TN"
157.56,157.68,157.281,157.378,119P06131,2.32,1.34,0.3,4_IL,4,"Davenport, IA to Memphis, TN"
157.68,157.7,157.378,157.397,119P06131,2.32,1.34,0.3,4_IL,4,"Davenport, IA to Memphis, TN"
157.7,157.86,157.397,157.58,119P06131,2.32,1.34,0.3,4_IL,4,"Davenport, IA to Memphis, TN"
157.86,158.29,157.58,158.017,119+06131,1.99,1.16,0.43,4_IL,4,"Davenport, IA to Memphis, TN"
158.29,159.92,158.017,159.653,119+10486,1.57,1.16,1.63,4_IL,4,"Davenport, IA to Memphis, TN"
159.92,159.92,159.653,159.653,119N06207,2.21,1.23,0.04,4_IL,4,"Davenport, IA to Memphis, TN"
159.92,160.75,159.653,160.484,119+06130,1.67,1.26,0.83,4_IL,4,"Davenport, IA to Memphis, TN"
160.75,160.77,160.484,160.504,119P06129,3.14,1.28,0.14,4_IL,4,"Davenport, IA to Memphis, TN"
160.77,160.87,160.504,160.597,119P06129,3.14,1.28,0.14,4_IL,4,"Davenport, IA to Memphis, TN"
160.87,160.88,160.597,160.607,119P12717,3.76,1.49,0.05,4_IL,4,"Davenport, IA to Memphis, TN"
160.88,160.9,160.607,160.587,119P12717,3.76,1.49,0.05,4_IL,4,"Davenport, IA to Memphis, TN"
160.9,161.89,160.587,161.603,119+12717,1.77,1.2,0.98,4_IL,4,"Davenport, IA to Memphis, TN"
161.89,163.03,161.603,162.739,119+10621,1.75,1.18,1.14,4_IL,4,"Davenport, IA to Memphis, TN"
163.03,164.24,162.739,164.006,119-08921,1.77,1.2,1.46,4_IL,4,"Davenport, IA to Memphis, TN"
164.24,164.49,164.006,164.314,119-08921,1.77,1.2,1.46,4_IL,4,"Davenport, IA to Memphis, TN"
164.49,164.5,164.314,164.34,119N08922,2.49,1.28,0.02,4_IL,4,"Davenport, IA to Memphis, TN"
164.5,164.51,164.34,164.35,119+06127,1.69,1.24,3.05,4_IL,4,"Davenport, IA to Memphis, TN"
164.51,167.55,164.35,167.379,119-08922,1.75,1.22,3.04,4_IL,4,"Davenport, IA to Memphis, TN"
167.55,167.58,167.379,167.396,119N08923,4.5,1.43,0.05,4_IL,4,"Davenport, IA to Memphis, TN"
167.58,167.59,167.396,167.421,119P06126,4,1.44,0.06,4_IL,4,"Davenport, IA to Memphis, TN"
167.59,167.61,167.421,167.441,119P06126,4,1.44,0.06,4_IL,4,"Davenport, IA to Memphis, TN"
167.61,167.63,167.441,167.461,119+06126,3.13,1.26,3.58,4_IL,4,"Davenport, IA to Memphis, TN"
167.63,170.92,167.461,170.724,119+06126,3.13,1.26,3.58,4_IL,4,"Davenport, IA to Memphis, TN"
170.92,171.21,170.724,171.016,119+06126,3.13,1.26,3.58,4_IL,4,"Davenport, IA to Memphis, TN"
171.21,171.43,171.016,171.238,119+10485,1.32,1.08,4.97,4_IL,4,"Davenport, IA to Memphis, TN"
171.43,176.02,171.238,175.823,119+10485,1.32,1.08,4.97,4_IL,4,"Davenport, IA to Memphis, TN"
176.02,176.19,175.823,175.944,119+10485,1.32,1.08,4.97,4_IL,4,"Davenport, IA to Memphis, TN"
176.19,176.34,175.944,176.134,119+06125,1.34,1.12,0.9,4_IL,4,"Davenport, IA to Memphis, TN"
176.34,177.08,176.134,176.885,119+06125,1.34,1.12,0.9,4_IL,4,"Davenport, IA to Memphis, TN"
177.08,182.64,176.885,182.419,119-10483,1.25,1.08,5.54,4_IL,4,"Davenport, IA to Memphis, TN"
182.64,183.12,182.419,182.903,119-10482,1.23,1.09,0.49,4_IL,4,"Davenport, IA to Memphis, TN"
183.12,185.6,182.903,185.408,119-10481,1.27,1.07,2.48,4_IL,4,"Davenport, IA to Memphis, TN"
185.6,189.19,185.408,188.978,119-06124,1.23,1.07,3.61,4_IL,4,"Davenport, IA to Memphis, TN"
189.19,189.83,188.978,189.647,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
189.83,190.51,189.647,190.373,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
190.51,220.36,190.373,219.447,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
220.36,220.45,219.447,219.547,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
220.45,221.45,219.547,220.594,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
221.45,225.5,220.594,224.64,,0,0,,4_IL,4,"Davenport, IA to Memphis, TN"
225.5,225.56,224.64,224.734,119+06688,3.06,1.31,3.42,4_IL,4,"Davenport, IA to Memphis, TN"
225.56,225.72,224.734,224.878,119P06689,2.04,1.45,0.31,4_IL,4,"Davenport, IA to Memphis, TN"
225.72,225.74,224.878,224.896,119P06689,2.04,1.45,0.31,4_IL,4,"Davenport, IA to Memphis, TN"
225.74,225.75,224.896,224.906,119P05090,1.06,1.02,0.77,4_IL,4,"Davenport, IA to Memphis, TN"
225.75,226.16,224.906,225.244,119P05090,1.06,1.02,0.77,4_IL,4,"Davenport, IA to Memphis, TN"
226.16,226.52,225.244,225.659,119+05090,1.1,1.03,0.36,4_IL,4,"Davenport, IA to Memphis, TN"
226.52,227.02,225.659,226.207,119P05089,1.07,1.02,0.49,4_IL,4,"Davenport, IA to Memphis, TN"
227.02,228.27,226.207,227.691,119+05089,1.07,1.02,1.24,4_IL,4,"Davenport, IA to Memphis, TN"
228.27,235.39,227.691,234.436,119+05483,1.04,1.01,7.07,4_IL,4,"Davenport, IA to Memphis, TN"
235.39,235.78,234.436,234.806,119P05482,1.05,1.01,0.39,4_IL,4,"Davenport, IA to Memphis, TN"
235.78,241.33,234.806,240.482,119+05482,1.04,1.01,5.54,4_IL,4,"Davenport, IA to Memphis, TN"
241.33,241.85,240.482,240.905,119P05481,1.05,1.01,0.52,4_IL,4,"Davenport, IA to Memphis, TN"
241.85,250.49,240.905,249.629,119+05481,1.03,1.01,8.63,4_IL,4,"Davenport, IA to Memphis, TN"
250.49,251.1,249.629,250.207,119P05480,1.05,1.01,0.61,4_IL,4,"Davenport, IA to Memphis, TN"
251.1,258.75,250.207,257.918,119+05480,1.04,1.01,7.64,4_IL,4,"Davenport, IA to Memphis, TN"
258.75,259.31,257.918,258.401,119P05479,1.04,1.01,0.57,4_IL,4,"Davenport, IA to Memphis, TN"
259.31,269.58,258.401,268.645,119+05479,1.04,1.01,10.22,4_IL,4,"Davenport, IA to Memphis, TN"
269.58,269.92,268.645,268.98,119P05478,1.05,1.02,0.34,4_IL,4,"Davenport, IA to Memphis, TN"
269.92,269.92,268.98,268.98,119+05478,1.06,1.02,1.64,4_IL,4,"Davenport, IA to Memphis, TN"
269.92,269.93,268.98,268.989,119+05478,1.06,1.02,1.64,4_IL,4,"Davenport, IA to Memphis, TN"
269.93,271.57,268.989,270.609,119+05478,1.06,1.02,1.64,4_IL,4,"Davenport, IA to Memphis, TN"
271.57,272.25,270.609,271.277,119P05477,1.13,1.03,0.68,4_IL,4,"Davenport, IA to Memphis, TN"
272.25,277.05,271.277,276.039,119+05477,1.04,1.01,4.75,4_IL,4,"Davenport, IA to Memphis, TN"
